row_index,replicate_id,peak_mutiny,collapse_quarter
151.0,4,91.808,15.8
152.0,0,93.634,15.0
152.0,1,93.634,15.0
152.0,2,93.634,15.0
152.0,3,93.634,15.0
152.0,4,93.634,15.0
153.0,0,93.634,15.0
153.0,1,93.634,15.0
153.0,2,93.634,15.0
153.0,3,93.634,15.0
153.0,4,93.634,15.0
154.0,0,94.324,14.2
154.0,1,94.324,14.2
154.0,2,94.324,14.2
154.0,3,94.324,14.2
154.0,4,94.324,14.2
155.0,0,92.42,14.8
155.0,1,92.42,14.8
155.0,2,92.42,14.8
155.0,3,92.42,14.8
155.0,4,92.42,14.8
156.0,0,76.654,11.4
156.0,1,76.654,11.4
156.0,2,76.654,11.4
156.0,3,76.654,11.4
156.0,4,76.654,11.4
157.0,0,75.146,13.2
157.0,1,75.146,13.2
157.0,2,75.146,13.2
157.0,3,75.146,13.2
157.0,4,75.146,13.2
158.0,0,96.634,10.2
158.0,1,96.634,10.2
158.0,2,96.634,10.2
158.0,3,96.634,10.2
158.0,4,96.634,10.2
159.0,0,78.904,11.2
159.0,1,78.904,11.2
159.0,2,78.904,11.2
159.0,3,78.904,11.2
159.0,4,78.904,11.2
160.0,0,77.598,13.8
160.0,1,77.598,13.8
160.0,2,77.598,13.8
160.0,3,77.598,13.8
160.0,4,77.598,13.8
161.0,0,92.608,14.4
161.0,1,92.608,14.4
161.0,2,92.608,14.4
161.0,3,92.608,14.4
161.0,4,92.608,14.4
162.0,0,91.852,15.0
162.0,1,91.852,15.0
162.0,2,91.852,15.0
162.0,3,91.852,15.0
162.0,4,91.852,15.0
163.0,0,94.672,14.4
163.0,1,94.672,14.4
163.0,2,94.672,14.4
163.0,3,94.672,14.4
163.0,4,94.672,14.4
164.0,0,74.796,15.0
164.0,1,74.796,15.0
164.0,2,74.796,15.0
164.0,3,74.796,15.0
164.0,4,74.796,15.0
165.0,0,91.852,15.0
165.0,1,91.852,15.0
165.0,2,91.852,15.0
165.0,3,91.852,15.0
165.0,4,91.852,15.0
166.0,0,91.944,15.8
166.0,1,91.944,15.8
166.0,2,91.944,15.8
166.0,3,91.944,15.8
166.0,4,91.944,15.8
167.0,0,72.134,15.0
167.0,1,72.134,15.0
167.0,2,72.134,15.0
167.0,3,72.134,15.0
167.0,4,72.134,15.0
168.0,0,33.12,9.8
168.0,1,33.12,9.8
168.0,2,33.12,9.8
168.0,3,33.12,9.8
168.0,4,33.12,9.8
169.0,0,33.212,9.0
169.0,1,33.212,9.0
169.0,2,33.212,9.0
169.0,3,33.212,9.0
169.0,4,33.212,9.0
170.0,0,32.408,9.8
170.0,1,32.408,9.8
170.0,2,32.408,9.8
170.0,3,32.408,9.8
170.0,4,32.408,9.8
171.0,0,73.488,16.0
171.0,1,73.488,16.0
171.0,2,73.488,16.0
171.0,3,73.488,16.0
171.0,4,73.488,16.0
172.0,0,34.858000000000004,8.4
172.0,1,34.858000000000004,8.4
172.0,2,34.858000000000004,8.4
172.0,3,34.858000000000004,8.4
172.0,4,34.858000000000004,8.4
173.0,0,74.49000000000001,13.6
173.0,1,74.49000000000001,13.6
173.0,2,74.49000000000001,13.6
173.0,3,74.49000000000001,13.6
173.0,4,74.49000000000001,13.6
174.0,0,96.086,12.4
174.0,1,96.086,12.4
174.0,2,96.086,12.4
174.0,3,96.086,12.4
174.0,4,96.086,12.4
175.0,0,93.926,14.2
175.0,1,93.926,14.2
175.0,2,93.926,14.2
175.0,3,93.926,14.2
175.0,4,93.926,14.2
176.0,0,96.086,12.4
176.0,1,96.086,12.4
176.0,2,96.086,12.4
176.0,3,96.086,12.4
176.0,4,96.086,12.4
177.0,0,96.086,12.4
177.0,1,96.086,12.4
177.0,2,96.086,12.4
177.0,3,96.086,12.4
177.0,4,96.086,12.4
178.0,0,95.84,14.4
178.0,1,95.84,14.4
178.0,2,95.84,14.4
178.0,3,95.84,14.4
178.0,4,95.84,14.4
179.0,0,68.75,12.8
179.0,1,68.75,12.8
179.0,2,68.75,12.8
179.0,3,68.75,12.8
179.0,4,68.75,12.8
180.0,0,79.546,15.8
180.0,1,79.546,15.8
180.0,2,79.546,15.8
180.0,3,79.546,15.8
180.0,4,79.546,15.8
181.0,0,65.038,12.6
181.0,1,65.038,12.6
181.0,2,65.038,12.6
181.0,3,65.038,12.6
181.0,4,65.038,12.6
182.0,0,92.54,15.8
182.0,1,92.54,15.8
182.0,2,92.54,15.8
182.0,3,92.54,15.8
182.0,4,92.54,15.8
183.0,0,82.964,15.8
183.0,1,82.964,15.8
183.0,2,82.964,15.8
183.0,3,82.964,15.8
183.0,4,82.964,15.8
184.0,0,81.30199999999999,15.6
184.0,1,81.30199999999999,15.6
184.0,2,81.30199999999999,15.6
184.0,3,81.30199999999999,15.6
184.0,4,81.30199999999999,15.6
185.0,0,84.68199999999999,16.4
185.0,1,84.68199999999999,16.4
185.0,2,84.68199999999999,16.4
185.0,3,84.68199999999999,16.4
185.0,4,84.68199999999999,16.4
186.0,0,78.31,16.0
186.0,1,78.31,16.0
186.0,2,78.31,16.0
186.0,3,78.31,16.0
186.0,4,78.31,16.0
187.0,0,94.784,14.0
187.0,1,94.784,14.0
187.0,2,94.784,14.0
187.0,3,94.784,14.0
187.0,4,94.784,14.0
188.0,0,58.95399999999999,12.8
188.0,1,58.95399999999999,12.8
188.0,2,58.95399999999999,12.8
188.0,3,58.95399999999999,12.8
188.0,4,58.95399999999999,12.8
189.0,0,78.31,16.0
